,block,street_name,latitude,longitude
152,265,BT BATOK EAST AVE 4,,
153,134,BT BATOK WEST AVE 6,,
154,301,BT BATOK ST 31,,
155,289E,BT BATOK ST 25,,
156,244,BT BATOK EAST AVE 5,,
157,248,BT BATOK EAST AVE 5,,
158,290D,BT BATOK EAST AVE 3,,
159,395,BT BATOK WEST AVE 5,,
160,642,BT BATOK CTRL,,
161,185,BT BATOK WEST AVE 6,,
162,106,BT BATOK CTRL,,
163,210,BT BATOK ST 21,,
164,386,BT BATOK WEST AVE 5,,
165,394,BT BATOK WEST AVE 5,,
166,190,BT BATOK WEST AVE 6,,
167,206,BT BATOK ST 21,,
168,211,BT BATOK ST 21,,
169,391,BT BATOK WEST AVE 5,,
170,205,BT BATOK ST 21,,
171,193,BT BATOK WEST AVE 6,,
172,624,BT BATOK CTRL,,
173,290A,BT BATOK ST 24,,
174,141,BT BATOK ST 11,,
175,120,BT BATOK CTRL,,
176,289A,BT BATOK ST 25,,
177,10,JLN BT HO SWEE,,
178,2,JLN BT HO SWEE,,
179,45,TELOK BLANGAH DR,,
180,36,BEO CRES,,
181,20,TELOK BLANGAH CRES,,
182,16,TAMAN HO SWEE,,
183,32,TELOK BLANGAH RISE,,
184,33,TELOK BLANGAH WAY,,
185,142,JLN BT MERAH,,
186,131,JLN BT MERAH,,
187,30,JLN KLINIK,,
188,63,TELOK BLANGAH HTS,,
189,61,TELOK BLANGAH HTS,,
190,116,BT MERAH VIEW,,
191,44,TELOK BLANGAH DR,,
192,24,BEO CRES,,
193,78,INDUS RD,,
194,55,TELOK BLANGAH DR,,
195,130,BT MERAH VIEW,,
196,122,BT MERAH LANE 1,,
197,80C,TELOK BLANGAH ST 31,,
198,50,MOH GUAN TER,,
199,47,MOH GUAN TER,,
200,54,HAVELOCK RD,,
201,101,HENDERSON CRES,,
202,23,TELOK BLANGAH CRES,,
203,106,HENDERSON CRES,,
204,115,BT PURMEI RD,,
205,108,BT PURMEI RD,,
206,129,KIM TIAN RD,,
207,106B,DEPOT RD,,
208,38,JLN RUMAH TINGGI,,
209,3,DELTA AVE,,
210,134,JLN BT MERAH,,
211,80A,TELOK BLANGAH ST 31,,
212,27A,JLN MEMBINA,,
213,75A,REDHILL RD,,
214,77A,REDHILL RD,,
215,57,HAVELOCK RD,,
216,48,LENGKOK BAHRU,,
217,35,JLN RUMAH TINGGI,,
218,46,LENGKOK BAHRU,,
219,67,TELOK BLANGAH DR,,
220,87,ZION RD,,
221,1,DELTA AVE,,
222,214,PETIR RD,,
223,123,PENDING RD,,
224,249,BANGKIT RD,,
225,458,SEGAR RD,,
226,506,JELAPANG RD,,
227,621,SENJA RD,,
228,402,FAJAR RD,,
229,419,FAJAR RD,,
230,526,JELAPANG RD,,
231,623,SENJA RD,,
232,128,PENDING RD,,
233,204,PETIR RD,,
234,473,SEGAR RD,,
235,237,BT PANJANG RING RD,,
236,539,BT PANJANG RING RD,,
237,516,JELAPANG RD,,
238,217,PETIR RD,,
239,218,PETIR RD,,
240,517,JELAPANG RD,,
241,652,SENJA LINK,,
242,624,SENJA RD,,
243,629,SENJA RD,,
244,455,SEGAR RD,,
245,176,LOMPANG RD,,
246,418,FAJAR RD,,
247,484,SEGAR RD,,
248,140,PETIR RD,,
249,152,GANGSA RD,,
250,537,BT PANJANG RING RD,,
251,401,FAJAR RD,,
252,242,BT PANJANG RING RD,,
253,613,BT PANJANG RING RD,,
254,654,SENJA RD,,
255,536,JELAPANG RD,,
256,154,GANGSA RD,,
257,174,LOMPANG RD,,
258,177,LOMPANG RD,,
259,606,SENJA RD,,
260,650,SENJA LINK,,
261,228,PENDING RD,,
262,151,PETIR RD,,
263,4,TOH YI DR,,
264,5,FARRER RD,,
265,15,TOH YI DR,,
266,9,JLN KUKOH,,
267,640,ROWELL RD,,
268,264,WATERLOO ST,,
269,32,NEW MKT RD,,
270,5,TG PAGAR PLAZA,,
271,271,QUEEN ST,,
272,232,BAIN ST,,
273,1C,CANTONMENT RD,,
274,1F,CANTONMENT RD,,
275,1B,CANTONMENT RD,,
276,111,TECK WHYE LANE,,
277,114,TECK WHYE LANE,,
278,460,CHOA CHU KANG AVE 4,,
279,121,TECK WHYE LANE,,
280,404,CHOA CHU KANG AVE 3,,
281,692B,CHOA CHU KANG CRES,,
282,115,TECK WHYE LANE,,
283,422,CHOA CHU KANG AVE 4,,
284,680,CHOA CHU KANG CRES,,
285,771,CHOA CHU KANG ST 54,,
286,229,CHOA CHU KANG CTRL,,
287,237,CHOA CHU KANG CTRL,,
288,157,JLN TECK WHYE,,
289,416,CHOA CHU KANG AVE 4,,
290,414,CHOA CHU KANG AVE 4,,
291,239,CHOA CHU KANG CTRL,,
292,423,CHOA CHU KANG AVE 4,,
293,621,CHOA CHU KANG ST 62,,
294,657,CHOA CHU KANG CRES,,
295,418,CHOA CHU KANG AVE 4,,
296,608,CHOA CHU KANG ST 62,,
297,412,CHOA CHU KANG AVE 3,,
298,635,CHOA CHU KANG NTH 6,,
299,353,CHOA CHU KANG CTRL,,
300,453,CHOA CHU KANG AVE 4,,
301,689A,CHOA CHU KANG DR,,
302,692A,CHOA CHU KANG CRES,,
303,689B,CHOA CHU KANG DR,,
304,760,CHOA CHU KANG NTH 5,,
305,544,CHOA CHU KANG ST 52,,
306,690A,CHOA CHU KANG CRES,,
307,474,CHOA CHU KANG AVE 3,,
308,248,CHOA CHU KANG AVE 2,,
309,626,CHOA CHU KANG ST 62,,
310,789,CHOA CHU KANG NTH 6,,
311,671,CHOA CHU KANG CRES,,
312,296B,CHOA CHU KANG AVE 2,,
313,604,CHOA CHU KANG ST 62,,
314,663,CHOA CHU KANG CRES,,
315,101,TECK WHYE LANE,,
316,715,CLEMENTI WEST ST 2,,
317,702,WEST COAST RD,,
318,607,CLEMENTI WEST ST 1,,
319,374,CLEMENTI AVE 4,,
320,346,CLEMENTI AVE 5,,
321,109,CLEMENTI ST 11,,
322,339,CLEMENTI AVE 5,,
323,351,CLEMENTI AVE 2,,
324,334,CLEMENTI AVE 2,,
325,305,CLEMENTI AVE 4,,
326,364,CLEMENTI AVE 2,,
327,371,CLEMENTI AVE 4,,
328,449,CLEMENTI AVE 3,,
329,418,CLEMENTI AVE 1,,
330,730,CLEMENTI WEST ST 2,,
331,716,CLEMENTI WEST ST 2,,
332,709,CLEMENTI WEST ST 2,,
333,611,CLEMENTI WEST ST 1,,
334,348,CLEMENTI AVE 5,,
335,411,C'WEALTH AVE WEST,,
